time,word,cate,v,a
4/14/2013,despicable,0,2.76,4.86
4/15/2013,hot,0,5.73,4.76
4/19/2013,deserve,0,6.77,4.5
4/21/2013,hot,0,5.73,4.76
4/22/2013,hot,0,5.73,4.76
4/22/2013,jealous,0,2.38,5.9
4/28/2013,jealous,0,2.38,5.9
5/1/2013,deserve,0,6.77,4.5
5/5/2013,waffle,0,6.75,4.5
5/9/2013,science,0,4.76,4.71
5/13/2013,science,0,4.76,4.71
5/16/2013,shark,0,4.02,5.27
5/18/2013,hot,0,5.73,4.76
5/20/2013,hit,0,3.95,5.48
5/21/2013,army,0,4.72,5.03
5/27/2013,deserve,0,6.77,4.5
5/28/2013,anger,0,2.5,5.93
5/28/2013,rude,0,2.5,6.31
5/29/2013,grab,0,5.44,4.5
5/29/2013,army,0,4.72,5.03
5/31/2013,disappointed,0,2.65,4.47
6/2/2013,shit,0,3.91,5.67
6/2/2013,lie,0,2.39,4.81
6/2/2013,army,0,4.72,5.03
8/3/2012,world,1,6.5,5.32
8/4/2012,time,1,5.6,3.41
8/4/2012,soccer,1,5.9,5.39
8/8/2012,wait,1,4.55,3.62
8/9/2012,adventure,1,7.4,6.36
8/9/2012,world,1,6.5,5.32
8/10/2012,ready,1,6.64,3.9
8/10/2012,start,1,6.41,4.81
8/10/2012,world,1,6.5,5.32
8/10/2012,thought,1,6.76,4.16
8/10/2012,warm,1,6.5,5.14
8/10/2012,wait,1,4.55,3.62
8/11/2012,butt,1,5.36,5.2
8/12/2012,time,1,5.6,3.41
8/12/2012,ultimate,1,5.74,5.1
8/13/2012,album,1,6.21,5.18
8/14/2012,teeth,1,5.46,4.77
8/16/2012,university,1,6.95,4.24
8/17/2012,time,1,5.6,3.41
8/17/2012,top,1,6,4.33
8/18/2012,ready,1,6.64,3.9
8/19/2012,twins,1,6.24,5.17
8/21/2012,thought,1,6.76,4.16
8/21/2012,wait,1,4.55,3.62
8/21/2012,wait,1,4.55,3.62
8/21/2012,news,1,5.3,5.17
8/22/2012,ready,1,6.64,3.9
8/23/2012,wont,1,4.09,4.23
8/25/2012,news,1,5.3,5.17
9/2/2012,ready,1,6.64,3.9
9/2/2012,wait,1,4.55,3.62
9/3/2012,time,1,5.6,3.41
9/5/2012,wait,1,4.55,3.62
9/9/2012,city,1,6.03,5.24
9/11/2012,butt,1,5.36,5.2
9/12/2012,world,1,6.5,5.32
9/13/2012,time,1,5.6,3.41
9/14/2012,ready,1,6.64,3.9
9/15/2012,wait,1,4.55,3.62
9/15/2012,time,1,5.6,3.41
9/16/2012,world,1,6.5,5.32
9/16/2012,wont,1,4.09,4.23
9/17/2012,wait,1,4.55,3.62
9/17/2012,album,1,6.21,5.18
9/17/2012,edition,1,5.3,3.79
9/19/2012,interim,1,4.68,3.68
9/19/2012,time,1,5.6,3.41
9/20/2012,wait,1,4.55,3.62
9/20/2012,time,1,5.6,3.41
9/20/2012,time,1,5.6,3.41
9/23/2012,adventure,1,7.4,6.36
9/24/2012,start,1,6.41,4.81
9/26/2012,start,1,6.41,4.81
9/26/2012,hard,1,5.22,5.12
9/27/2012,hard,1,5.22,5.12
9/28/2012,society,1,5.03,4.82
9/28/2012,wont,1,4.09,4.23
9/30/2012,happen,1,5.5,3.43
10/1/2012,album,1,6.21,5.18
10/3/2012,wait,1,4.55,3.62
10/3/2012,album,1,6.21,5.18
10/3/2012,top,1,6,4.33
10/3/2012,world,1,6.5,5.32
10/5/2012,wings,1,6.39,5.33
10/5/2012,stud,1,4.89,5.14
10/6/2012,wait,1,4.55,3.62
10/6/2012,world,1,6.5,5.32
10/10/2012,time,1,5.6,3.41
10/11/2012,wonder,1,6.03,5
10/13/2012,ship,1,6.14,3.94
10/13/2012,time,1,5.6,3.41
10/13/2012,attempt,1,6,4.94
10/19/2012,top,1,6,4.33
10/20/2012,news,1,5.3,5.17
10/21/2012,fetus,1,5.21,4.97
10/21/2012,carve,1,5.08,4.72
10/22/2012,time,1,5.6,3.41
10/23/2012,wait,1,4.55,3.62
10/23/2012,ready,1,6.64,3.9
10/23/2012,world,1,6.5,5.32
10/25/2012,wonder,1,6.03,5
10/26/2012,sunset,1,7.46,4.68
10/26/2012,thin,1,6.43,5.57
10/27/2012,subway,1,6.29,5.52
10/28/2012,start,1,6.41,4.81
10/29/2012,hurry,1,4.32,5.62
10/29/2012,ready,1,6.64,3.9
10/29/2012,time,1,5.6,3.41
10/29/2012,carve,1,5.08,4.72
10/29/2012,hurry,1,4.32,5.62
10/29/2012,ring,1,6.33,5.37
10/31/2012,draft,1,5.3,4.1
11/1/2012,scene,1,5.59,4.93
11/2/2012,time,1,5.6,3.41
11/4/2012,time,1,5.6,3.41
11/4/2012,wait,1,4.55,3.62
11/5/2012,lesson,1,5.57,3.8
11/6/2012,ready,1,6.64,3.9
11/8/2012,world,1,6.5,5.32
11/9/2012,time,1,5.6,3.41
11/10/2012,sunset,1,7.46,4.68
11/14/2012,world,1,6.5,5.32
11/14/2012,immature,1,3.17,4.21
11/16/2012,time,1,5.6,3.41
11/17/2012,ready,1,6.64,3.9
11/17/2012,winter,1,5.79,5.32
11/19/2012,thought,1,6.76,4.16
11/21/2012,bridge,1,5.26,5.03
11/21/2012,bridge,1,5.26,5.03
11/21/2012,cap,1,5,3.27
11/23/2012,scent,1,6.3,5.3
11/30/2012,world,1,6.5,5.32
12/2/2012,realize,1,6.25,5.26
12/4/2012,scene,1,5.59,4.93
12/6/2012,time,1,5.6,3.41
12/8/2012,time,1,5.6,3.41
12/9/2012,ready,1,6.64,3.9
12/12/2012,time,1,5.6,3.41
12/14/2012,album,1,6.21,5.18
12/14/2012,world,1,6.5,5.32
12/17/2012,world,1,6.5,5.32
12/19/2012,winter,1,5.79,5.32
12/22/2012,time,1,5.6,3.41
12/23/2012,wait,1,4.55,3.62
12/23/2012,album,1,6.21,5.18
12/24/2012,album,1,6.21,5.18
12/24/2012,start,1,6.41,4.81
12/26/2012,ready,1,6.64,3.9
12/31/2012,wonder,1,6.03,5
12/31/2012,time,1,5.6,3.41
12/31/2012,time,1,5.6,3.41
12/31/2012,wait,1,4.55,3.62
1/2/2013,bridge,1,5.26,5.03
1/2/2013,bridge,1,5.26,5.03
1/2/2013,bridge,1,5.26,5.03
1/2/2013,time,1,5.6,3.41
1/2/2013,start,1,6.41,4.81
1/8/2013,wait,1,4.55,3.62
1/8/2013,winter,1,5.79,5.32
1/11/2013,wait,1,4.55,3.62
1/13/2013,wait,1,4.55,3.62
1/13/2013,puppy,1,7.85,5.84
1/22/2013,city,1,6.03,5.24
1/23/2013,wait,1,4.55,3.62
1/23/2013,world,1,6.5,5.32
1/25/2013,hard,1,5.22,5.12
1/28/2013,time,1,5.6,3.41
1/29/2013,spree,1,5.95,5
2/1/2013,time,1,5.6,3.41
2/3/2013,city,1,6.03,5.24
2/6/2013,anticipation,1,5.26,5.39
2/7/2013,wait,1,4.55,3.62
2/8/2013,hungry,1,3.54,5.6
2/9/2013,world,1,6.5,5.32
2/13/2013,butt,1,5.36,5.2
2/13/2013,thought,1,6.76,4.16
2/14/2013,time,1,5.6,3.41
2/16/2013,time,1,5.6,3.41
2/16/2013,time,1,5.6,3.41
2/16/2013,city,1,6.03,5.24
2/17/2013,world,1,6.5,5.32
2/21/2013,wait,1,4.55,3.62
2/27/2013,happen,1,5.5,3.43
2/28/2013,hands,1,5.93,5.21
3/3/2013,sunset,1,7.46,4.68
3/3/2013,album,1,6.21,5.18
3/5/2013,wait,1,4.55,3.62
3/7/2013,thought,1,6.76,4.16
3/8/2013,time,1,5.6,3.41
3/8/2013,sunset,1,7.46,4.68
3/8/2013,world,1,6.5,5.32
3/10/2013,water,1,6.61,4.97
3/12/2013,wait,1,4.55,3.62
3/14/2013,race,1,6.07,5.43
3/16/2013,lesson,1,5.57,3.8
3/16/2013,airport,1,6,5.5
3/17/2013,wait,1,4.55,3.62
3/17/2013,start,1,6.41,4.81
3/18/2013,attempt,1,6,4.94
3/18/2013,bible,1,5.97,4.57
3/18/2013,wonder,1,6.03,5
3/18/2013,time,1,5.6,3.41
3/18/2013,news,1,5.3,5.17
3/18/2013,stud,1,4.89,5.14
3/19/2013,cheese,1,6.33,5.2
3/23/2013,train,1,5.59,4.85
3/24/2013,wonder,1,6.03,5
3/25/2013,time,1,5.6,3.41
3/28/2013,time,1,5.6,3.41
3/30/2013,wait,1,4.55,3.62
3/30/2013,wait,1,4.55,3.62
4/1/2013,wait,1,4.55,3.62
4/2/2013,sequel,1,5.76,3.35
4/2/2013,sequel,1,5.76,3.35
4/2/2013,sequel,1,5.76,3.35
4/4/2013,warm,1,6.5,5.14
4/4/2013,album,1,6.21,5.18
4/4/2013,wait,1,4.55,3.62
4/5/2013,hard,1,5.22,5.12
4/6/2013,album,1,6.21,5.18
4/6/2013,album,1,6.21,5.18
4/6/2013,album,1,6.21,5.18
4/6/2013,world,1,6.5,5.32
4/7/2013,thought,1,6.76,4.16
4/10/2013,career,1,6.11,4.24
4/11/2013,wait,1,4.55,3.62
4/11/2013,ship,1,6.14,3.94
4/12/2013,time,1,5.6,3.41
4/12/2013,hands,1,5.93,5.21
4/13/2013,world,1,6.5,5.32
4/13/2013,train,1,5.59,4.85
4/14/2013,hands,1,5.93,5.21
4/14/2013,soccer,1,5.9,5.39
4/14/2013,time,1,5.6,3.41
4/15/2013,world,1,6.5,5.32
4/15/2013,news,1,5.3,5.17
4/16/2013,thought,1,6.76,4.16
4/17/2013,time,1,5.6,3.41
4/18/2013,thought,1,6.76,4.16
4/19/2013,chest,1,6.26,5.44
4/20/2013,time,1,5.6,3.41
4/20/2013,wait,1,4.55,3.62
4/21/2013,time,1,5.6,3.41
4/21/2013,sunset,1,7.46,4.68
4/22/2013,spree,1,5.95,5
4/22/2013,tank,1,5.16,4.88
4/22/2013,top,1,6,4.33
4/23/2013,hurry,1,4.32,5.62
4/23/2013,permit,1,5.47,5.08
4/26/2013,ready,1,6.64,3.9
4/28/2013,response,1,5.67,5
4/28/2013,time,1,5.6,3.41
4/28/2013,airport,1,6,5.5
4/28/2013,wait,1,4.55,3.62
4/29/2013,album,1,6.21,5.18
5/1/2013,realize,1,6.25,5.26
5/1/2013,time,1,5.6,3.41
5/1/2013,hard,1,5.22,5.12
5/2/2013,store,1,5.94,3.43
5/2/2013,store,1,5.94,3.43
5/2/2013,time,1,5.6,3.41
5/4/2013,hands,1,5.93,5.21
5/4/2013,hockey,1,5.39,5
5/7/2013,spree,1,5.95,5
5/8/2013,thought,1,6.76,4.16
5/8/2013,world,1,6.5,5.32
5/8/2013,world,1,6.5,5.32
5/8/2013,world,1,6.5,5.32
5/9/2013,time,1,5.6,3.41
5/12/2013,world,1,6.5,5.32
5/14/2013,happen,1,5.5,3.43
5/14/2013,time,1,5.6,3.41
5/14/2013,time,1,5.6,3.41
5/15/2013,subway,1,6.29,5.52
5/15/2013,hungry,1,3.54,5.6
5/16/2013,city,1,6.03,5.24
5/17/2013,wait,1,4.55,3.62
5/18/2013,highway,1,5.92,5.16
5/20/2013,water,1,6.61,4.97
5/21/2013,weigh,1,4.32,4.14
5/21/2013,wait,1,4.55,3.62
5/21/2013,world,1,6.5,5.32
5/21/2013,ready,1,6.64,3.9
5/22/2013,butt,1,5.36,5.2
5/22/2013,hard,1,5.22,5.12
5/24/2013,neighborhood,1,6.09,4.05
5/25/2013,world,1,6.5,5.32
5/25/2013,album,1,6.21,5.18
5/25/2013,exist,1,6.68,5.39
5/25/2013,spree,1,5.95,5
5/25/2013,spree,1,5.95,5
5/26/2013,time,1,5.6,3.41
5/27/2013,album,1,6.21,5.18
5/27/2013,wait,1,4.55,3.62
5/27/2013,time,1,5.6,3.41
5/28/2013,wait,1,4.55,3.62
5/29/2013,ready,1,6.64,3.9
5/31/2013,wait,1,4.55,3.62
6/1/2013,world,1,6.5,5.32
6/2/2013,giraffe,1,6.64,5
6/3/2013,wait,1,4.55,3.62
8/3/2012,end,2,3.44,4.44
8/4/2012,sick,2,2.29,4.67
8/9/2012,traffic,2,2.27,5.8
8/10/2012,sad,2,1.61,4.13
8/10/2012,adultery,2,2.81,6.42
8/10/2012,alone,2,2.41,4.83
8/12/2012,lazy,2,3.05,3.05
8/12/2012,hunger,2,2.76,5.36
8/15/2012,sad,2,1.61,4.13
8/16/2012,weird,2,5.09,4.29
8/18/2012,crap,2,3.44,4.62
8/21/2012,addicted,2,2.51,4.81
8/22/2012,weird,2,5.09,4.29
8/22/2012,addicted,2,2.51,4.81
8/23/2012,ignorant,2,3.24,4.18
8/25/2012,sad,2,1.61,4.13
8/28/2012,end,2,3.44,4.44
9/2/2012,stupid,2,2.84,4.34
9/3/2012,interested,2,6.83,4.45
9/3/2012,stop,2,3.96,4.26
9/3/2012,donkey,2,6.29,2.9
9/6/2012,alone,2,2.41,4.83
9/9/2012,end,2,3.44,4.44
9/15/2012,waste,2,2.61,4.04
9/17/2012,stop,2,3.96,4.26
9/23/2012,stop,2,3.96,4.26
9/24/2012,ugly,2,2.47,4.43
9/26/2012,idiot,2,3.03,4.85
9/30/2012,ugly,2,2.47,4.43
10/2/2012,dead,2,1.94,5.73
10/4/2012,weird,2,5.09,4.29
10/5/2012,lazy,2,3.05,3.05
10/5/2012,starving,2,2.86,5.1
10/5/2012,alone,2,2.41,4.83
10/6/2012,cut,2,3.64,5
10/13/2012,waste,2,2.61,4.04
10/18/2012,end,2,3.44,4.44
10/19/2012,sick,2,2.29,4.67
10/21/2012,fail,2,1.79,6.31
10/25/2012,end,2,3.44,4.44
10/27/2012,lord,2,5.59,3.81
10/31/2012,stupid,2,2.84,4.34
10/31/2012,bored,2,2.95,2.83
11/3/2012,liar,2,2.41,6.6
11/12/2012,alone,2,2.41,4.83
11/13/2012,boring,2,2.71,2.85
11/15/2012,boring,2,2.71,2.85
11/18/2012,lazy,2,3.05,3.05
11/21/2012,bored,2,2.95,2.83
11/21/2012,bum,2,3.64,4.39
11/24/2012,sad,2,1.61,4.13
11/24/2012,boy,2,5.84,4.11
11/25/2012,crap,2,3.44,4.62
11/30/2012,lame,2,3.66,3.69
12/4/2012,sad,2,1.61,4.13
12/5/2012,end,2,3.44,4.44
12/11/2012,alone,2,2.41,4.83
12/11/2012,hoarse,2,3.85,3.17
12/20/2012,boring,2,2.71,2.85
12/22/2012,lazy,2,3.05,3.05
12/26/2012,boy,2,5.84,4.11
12/27/2012,dumb,2,2.44,5.3
12/28/2012,thrift,2,5.72,2.95
12/29/2012,end,2,3.44,4.44
12/30/2012,lemon,2,6.37,4.52
12/31/2012,braces,2,3.17,5.24
1/2/2013,end,2,3.44,4.44
1/4/2013,sad,2,1.61,4.13
1/5/2013,unworthy,2,2.79,4.24
1/7/2013,stop,2,3.96,4.26
1/10/2013,fake,2,2.62,5.15
1/10/2013,irresponsible,2,2.5,5
1/13/2013,fatty,2,2.38,3.35
1/14/2013,lazy,2,3.05,3.05
1/17/2013,weird,2,5.09,4.29
1/19/2013,stupid,2,2.84,4.34
1/19/2013,sad,2,1.61,4.13
2/2/2013,bum,2,3.64,4.39
2/2/2013,bum,2,3.64,4.39
2/2/2013,bum,2,3.64,4.39
2/3/2013,goo,2,4.68,3.65
2/15/2013,boy,2,5.84,4.11
2/17/2013,poor,2,2.28,5.21
2/18/2013,weird,2,5.09,4.29
2/18/2013,weird,2,5.09,4.29
2/26/2013,dead,2,1.94,5.73
2/26/2013,pale,2,3.17,3.5
2/27/2013,stupid,2,2.84,4.34
2/27/2013,stop,2,3.96,4.26
3/3/2013,messy,2,3,4.61
3/5/2013,traffic,2,2.27,5.8
3/7/2013,fool,2,3.56,4.86
3/26/2013,braces,2,3.17,5.24
3/28/2013,sad,2,1.61,4.13
4/1/2013,bored,2,2.95,2.83
4/2/2013,braces,2,3.17,5.24
4/3/2013,braces,2,3.17,5.24
4/4/2013,sloth,2,4.05,2.9
4/4/2013,traffic,2,2.27,5.8
4/4/2013,traffic,2,2.27,5.8
4/4/2013,stop,2,3.96,4.26
4/7/2013,stop,2,3.96,4.26
4/15/2013,sick,2,2.29,4.67
4/17/2013,end,2,3.44,4.44
4/17/2013,boring,2,2.71,2.85
4/17/2013,boring,2,2.71,2.85
4/19/2013,crap,2,3.44,4.62
4/19/2013,starving,2,2.86,5.1
4/19/2013,nose,2,5.5,3.1
4/21/2013,hunger,2,2.76,5.36
4/23/2013,stop,2,3.96,4.26
4/27/2013,hunger,2,2.76,5.36
4/27/2013,stupid,2,2.84,4.34
4/28/2013,lazy,2,3.05,3.05
4/28/2013,pale,2,3.17,3.5
4/28/2013,ashamed,2,2.52,5.65
5/1/2013,lack,2,3.68,2.24
5/1/2013,alone,2,2.41,4.83
5/2/2013,sick,2,2.29,4.67
5/5/2013,lazy,2,3.05,3.05
5/7/2013,stomach,2,4.53,3.76
5/7/2013,starving,2,2.86,5.1
5/12/2013,end,2,3.44,4.44
5/13/2013,alone,2,2.41,4.83
5/14/2013,brag,2,4.05,3.5
5/14/2013,sloth,2,4.05,2.9
5/15/2013,fool,2,3.56,4.86
5/23/2013,hunger,2,2.76,5.36
5/25/2013,boy,2,5.84,4.11
5/26/2013,bored,2,2.95,2.83
5/28/2013,crap,2,3.44,4.62
6/1/2013,stop,2,3.96,4.26
6/1/2013,clumsy,2,4.14,4.12
8/3/2012,confused,3,3.21,6.03
8/5/2012,watch,3,5.45,3.37
8/9/2012,hate,3,1.96,6.26
8/9/2012,die,3,1.67,6.9
8/10/2012,bad,3,3.24,4.86
8/10/2012,government,3,3.78,3.75
8/10/2012,abortion,3,2.58,5.43
8/12/2012,insane,3,2.55,5.14
8/13/2012,watch,3,5.45,3.37
8/16/2012,crazy,3,5.14,5.9
8/17/2012,collapse,3,3.37,6.14
8/17/2012,watch,3,5.45,3.37
8/18/2012,god,3,5.9,5.56
8/19/2012,villain,3,3,4.91
8/22/2012,hurt,3,2.45,4.72
8/22/2012,kill,3,1.81,6.81
8/23/2012,die,3,1.67,6.9
8/23/2012,homework,3,3.32,4.74
8/28/2012,watch,3,5.45,3.37
8/28/2012,hood,3,4.95,3.33
8/28/2012,watch,3,5.45,3.37
9/2/2012,stealing,3,2.75,4.57
9/2/2012,drown,3,2.33,5.35
9/3/2012,steal,3,2.17,5.3
9/6/2012,hell,3,2.55,6.26
9/6/2012,god,3,5.9,5.56
9/6/2012,nervous,3,3.56,5.51
9/8/2012,die,3,1.67,6.9
9/12/2012,homework,3,3.32,4.74
9/12/2012,die,3,1.67,6.9
9/14/2012,awful,3,2.28,4.86
9/14/2012,crazy,3,5.14,5.9
9/15/2012,hell,3,2.55,6.26
9/17/2012,crazy,3,5.14,5.9
9/17/2012,hate,3,1.96,6.26
9/20/2012,homework,3,3.32,4.74
9/20/2012,watch,3,5.45,3.37
9/22/2012,crazy,3,5.14,5.9
9/22/2012,crazy,3,5.14,5.9
9/22/2012,crazy,3,5.14,5.9
9/23/2012,fear,3,2.93,6.14
9/23/2012,evil,3,2.34,5.67
9/23/2012,barbaric,3,3.43,5.6
9/26/2012,mad,3,2.47,5.59
9/26/2012,mad,3,2.47,5.59
9/26/2012,killing,3,1.95,5.52
10/1/2012,die,3,1.67,6.9
10/5/2012,die,3,1.67,6.9
10/5/2012,bad,3,3.24,4.86
10/8/2012,god,3,5.9,5.56
10/9/2012,curse,3,2.9,5.2
10/9/2012,disease,3,1.68,5.5
10/10/2012,god,3,5.9,5.56
10/10/2012,broken,3,2.75,4.86
10/10/2012,rascal,3,4.6,4.5
10/10/2012,afraid,3,2.25,5.12
10/13/2012,hunter,3,4.9,5.86
10/13/2012,stormy,3,5.14,6.52
10/15/2012,fight,3,3.54,6.33
10/16/2012,radioactive,3,3.47,5.64
10/18/2012,change,3,5.09,4.05
10/18/2012,horrible,3,2.33,5.95
10/18/2012,bear,3,5.33,4.5
10/19/2012,awful,3,2.28,4.86
10/19/2012,hate,3,1.96,6.26
10/21/2012,hate,3,1.96,6.26
10/22/2012,fight,3,3.54,6.33
10/22/2012,ruthless,3,3.67,6
10/22/2012,obsessed,3,3.6,6.24
10/24/2012,hate,3,1.96,6.26
10/25/2012,fear,3,2.93,6.14
10/25/2012,evil,3,2.34,5.67
10/25/2012,childish,3,4.89,5
10/25/2012,die,3,1.67,6.9
10/25/2012,die,3,1.67,6.9
10/25/2012,worrying,3,3.19,5.36
10/26/2012,change,3,5.09,4.05
10/26/2012,shame,3,2.62,5.4
10/27/2012,mad,3,2.47,5.59
10/27/2012,freezing,3,3.33,5.84
10/28/2012,hurricane,3,3.16,5.75
10/28/2012,hang,3,4.33,5.4
10/30/2012,bitch,3,2.55,5.95
11/1/2012,lion,3,5.84,5.29
11/1/2012,stealing,3,2.75,4.57
11/2/2012,change,3,5.09,4.05
11/2/2012,confidence,3,6.71,4.04
11/8/2012,bad,3,3.24,4.86
11/9/2012,bad,3,3.24,4.86
11/10/2012,die,3,1.67,6.9
11/13/2012,scared,3,2.78,6.82
11/13/2012,bad,3,3.24,4.86
11/14/2012,god,3,5.9,5.56
11/14/2012,haunt,3,4.05,4.87
11/14/2012,die,3,1.67,6.9
11/15/2012,homework,3,3.32,4.74
11/16/2012,crazy,3,5.14,5.9
11/17/2012,kill,3,1.81,6.81
11/21/2012,pain,3,2,6.27
11/21/2012,parachute,3,5.2,4.94
11/22/2012,god,3,5.9,5.56
11/22/2012,die,3,1.67,6.9
11/23/2012,fear,3,2.93,6.14
11/24/2012,watch,3,5.45,3.37
11/24/2012,crazed,3,3.5,6.25
11/27/2012,hate,3,1.96,6.26
11/27/2012,confused,3,3.21,6.03
11/27/2012,doubt,3,3.28,4.33
11/27/2012,intelligence,3,7.65,6.32
11/27/2012,afraid,3,2.25,5.12
11/30/2012,afraid,3,2.25,5.12
12/1/2012,watch,3,5.45,3.37
12/2/2012,conspiracy,3,3.42,5.74
12/3/2012,rob,3,2.1,5.54
12/5/2012,die,3,1.67,6.9
12/6/2012,challenge,3,5.95,5.25
12/9/2012,killer,3,1.89,7.86
12/9/2012,homework,3,3.32,4.74
12/10/2012,die,3,1.67,6.9
12/10/2012,doubt,3,3.28,4.33
12/10/2012,bad,3,3.24,4.86
12/14/2012,horrible,3,2.33,5.95
12/17/2012,mad,3,2.47,5.59
12/19/2012,bothered,3,3,6.17
12/19/2012,remove,3,4.21,3.11
12/22/2012,crazy,3,5.14,5.9
12/22/2012,die,3,1.67,6.9
12/22/2012,elf,3,6.1,4.3
12/23/2012,radioactive,3,3.47,5.64
12/23/2012,hunter,3,4.9,5.86
12/28/2012,honest,3,8.16,4
12/28/2012,afraid,3,2.25,5.12
12/29/2012,die,3,1.67,6.9
12/29/2012,fight,3,3.54,6.33
12/29/2012,anxiety,3,2.38,4.78
12/31/2012,beast,3,4.42,5.83
12/31/2012,worry,3,2.1,6.33
1/2/2013,hurt,3,2.45,4.72
1/2/2013,bad,3,3.24,4.86
1/2/2013,die,3,1.67,6.9
1/5/2013,witch,3,3.14,5.3
1/8/2013,die,3,1.67,6.9
1/8/2013,watch,3,5.45,3.37
1/8/2013,afraid,3,2.25,5.12
1/10/2013,disabled,3,2.7,3.71
1/11/2013,change,3,5.09,4.05
1/11/2013,bad,3,3.24,4.86
1/18/2013,bait,3,4,3.5
1/19/2013,die,3,1.67,6.9
1/19/2013,bad,3,3.24,4.86
1/19/2013,difficult,3,3.78,4.45
1/20/2013,bad,3,3.24,4.86
1/21/2013,crazy,3,5.14,5.9
1/22/2013,insane,3,2.55,5.14
1/22/2013,die,3,1.67,6.9
1/24/2013,kill,3,1.81,6.81
1/25/2013,crazy,3,5.14,5.9
1/25/2013,crazy,3,5.14,5.9
1/25/2013,crazy,3,5.14,5.9
1/26/2013,bad,3,3.24,4.86
1/28/2013,bad,3,3.24,4.86
2/3/2013,bee,3,3.68,5.65
2/5/2013,hopeless,3,2.2,4.52
2/5/2013,weirdo,3,5.19,4.9
2/6/2013,bad,3,3.24,4.86
2/7/2013,fire,3,4.32,6.05
2/7/2013,fire,3,4.32,6.05
2/8/2013,freezing,3,3.33,5.84
2/9/2013,awful,3,2.28,4.86
2/9/2013,cove,3,5.67,3.17
2/12/2013,hate,3,1.96,6.26
2/14/2013,change,3,5.09,4.05
2/16/2013,god,3,5.9,5.56
2/16/2013,worry,3,2.1,6.33
2/16/2013,fear,3,2.93,6.14
2/17/2013,emotional,3,4.36,5.75
2/17/2013,god,3,5.9,5.56
2/17/2013,parachute,3,5.2,4.94
2/18/2013,scary,3,3.24,6.69
2/22/2013,hate,3,1.96,6.26
2/22/2013,crazy,3,5.14,5.9
2/23/2013,homework,3,3.32,4.74
2/24/2013,afraid,3,2.25,5.12
2/26/2013,killing,3,1.95,5.52
2/27/2013,suicide,3,1.58,6.21
3/3/2013,chicken,3,6.17,3.2
3/5/2013,obsessed,3,3.6,6.24
3/5/2013,hate,3,1.96,6.26
